Entity,Images
Wind,"['https://upload.wikimedia.org/wikipedia/commons/a/a8/10_PM_March_12_surface_analysis_of_Great_Blizzard_of_1888.png', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Anemometer_2745.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Cherry_tree_moving_in_the_wind_1.gif', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Coarse_woody_debris_6407.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Destruction_following_hurricane_andrew.jpg']"
Ficus,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Ficus-AerialRoot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Ficus_carica_tree.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Ficus_exasperata_by_kadavoor.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Ficus_religiosa_Bo.jpg']"
Rotation,"['https://upload.wikimedia.org/wikipedia/commons/6/61/AxialTiltObliquity.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/54/Flight_dynamics_with_text.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg']"
Fig (plant),[]
Figurine,"['https://upload.wikimedia.org/wikipedia/commons/1/17/12_zodiac.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Bustelli_Liebesgruppe_Der_gest%C3%B6rte_Schl%C3%A4fer_BNM.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Fallenastronautfigurinecrop.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/1b/Lladro_Fisherboy_Figurine.jpg']"
Weather cock,[]
Stick,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Activity 2,[]
Empty,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Bottle,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/22872c3aebc44ba42e27b5f1bb568448_%2817921561302%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Beer_bottles_2018_G1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Bocksbeutel_bottle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Botella_de_pl%C3%A1stico_-_PET.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Bottle%2C_Ding_ware%2C_Hebei_province%2C_China%2C_Northern_Song_dynasty%2C_11th-early_12th_century_AD%2C_porcelain_with_iron_pigment_under_transparent_ivory-toned_glaze_-_Freer_Gallery_of_Art_-_DSC05557.JPG']"
Bottle,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/22872c3aebc44ba42e27b5f1bb568448_%2817921561302%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Beer_bottles_2018_G1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Bocksbeutel_bottle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Botella_de_pl%C3%A1stico_-_PET.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Bottle%2C_Ding_ware%2C_Hebei_province%2C_China%2C_Northern_Song_dynasty%2C_11th-early_12th_century_AD%2C_porcelain_with_iron_pigment_under_transparent_ivory-toned_glaze_-_Freer_Gallery_of_Art_-_DSC05557.JPG']"
Cosmetics,"['https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/AncientEgypt-LadyApplyingCosmetics-ROM.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Bottle,"['https://upload.wikimedia.org/wikipedia/commons/2/2c/22872c3aebc44ba42e27b5f1bb568448_%2817921561302%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Beer_bottles_2018_G1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Bocksbeutel_bottle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/Botella_de_pl%C3%A1stico_-_PET.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Bottle%2C_Ding_ware%2C_Hebei_province%2C_China%2C_Northern_Song_dynasty%2C_11th-early_12th_century_AD%2C_porcelain_with_iron_pigment_under_transparent_ivory-toned_glaze_-_Freer_Gallery_of_Art_-_DSC05557.JPG']"
Water,"['https://upload.wikimedia.org/wikipedia/commons/9/95/200407-sandouping-sanxiadaba-4.med.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/2006_Global_Water_Availability.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/3D_model_hydrogen_bonds_in_water.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Access_to_drinking_water_in_third_world.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg']"
Atmosphere,"['https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Mars_atmosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Color,"['https://upload.wikimedia.org/wikipedia/commons/d/d2/600-artist-palette.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/AdditiveColor.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/CIE_chromaticity_diagram_2012_version.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Color_Classification.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Color_icon_black_new2.png']"
Atmosphere,"['https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Mars_atmosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Experiment,"['https://upload.wikimedia.org/wikipedia/commons/e/e8/Apollo_15_feather_and_hammer_drop.ogv', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Blackbox3D-obs.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Humanit%C3%A9s_Num%C3%A9riques.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Mirror_baby.jpg']"
Mountain,"['https://upload.wikimedia.org/wikipedia/commons/1/1b/080103_hakkai_fuji.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Everest_North_Face_toward_Base_Camp_Tibet_Luca_Galuzzi_2006.jpg']"
Air,[]
Condensation,"['https://upload.wikimedia.org/wikipedia/commons/5/5a/Cloud_over_A340_wing.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Condensation_on_outside_of_windows.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Effect_similar_to_contrails_created_in_a_cloud_chambers.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Phase_change_-_en.svg']"
Nature,"['https://upload.wikimedia.org/wikipedia/commons/f/f4/44_-_Iguazu_-_D%C3%A9cembre_2007.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4b/Amazon_Manaus_forest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Animal_diversity.png', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Aravalli.jpg']"
Air,[]
Atmosphere of Earth,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Antarctic_aurora_ESA313457.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/AtmosphCirc2.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Atmosphere_gas_proportions.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Atmosphere_model.png']"
Active galactic nucleus,"['https://upload.wikimedia.org/wikipedia/commons/7/77/Best_image_of_bright_quasar_3C_273.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Black_hole_-_Messier_87_crop_max_res.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
Atmosphere of Earth,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Antarctic_aurora_ESA313457.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/AtmosphCirc2.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Atmosphere_gas_proportions.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Atmosphere_model.png']"
Combustion,"['https://upload.wikimedia.org/wikipedia/commons/5/59/15._%D0%9E%D1%81%D0%BB%D0%BE%D0%B1%D0%BE%D0%B4%D1%83%D0%B2%D0%B0%D1%9A%D0%B5_%D0%BD%D0%B0_%D0%B3%D0%BE%D0%BB%D0%B5%D0%BC%D0%BE_%D0%BA%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%B5%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%98%D0%B0_%D0%BF%D1%80%D0%B8_%D1%81%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D1%83%D0%B0%D1%9A%D0%B5_%D0%B5%D1%82%D0%B0%D0%BD%D0%BE%D0%BB.webm', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Combustion_reaction_of_methane.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Disfig1.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Fire%2C_Fireplace%2C_Rostov-on-Don%2C_Russia.jpg']"
Atmosphere of Earth,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Antarctic_aurora_ESA313457.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/AtmosphCirc2.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Atmosphere_gas_proportions.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Atmosphere_model.png']"
Leaf,"['https://upload.wikimedia.org/wikipedia/commons/c/c7/%28Ziziphus_jujuba%29_Foliage_at_Ammuguda_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/3D_rendering_of_a_micro_CT_scan_of_a_piece_of_dried_leaf..ogv', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Acer_Truncatum_leaf.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Adiantum_cunninghamii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Berberis_gagnepainii_thorn.jpg']"
Smoke,"['https://upload.wikimedia.org/wikipedia/commons/0/03/Bee_smoker02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Black_Fire_Smoke_during_a_Heat_Wvae.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Diesel-smoke.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Fish_processing_hub.jpg']"
Gas,"['https://upload.wikimedia.org/wikipedia/commons/3/31/Boyle_air_pump.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/CFD_Shuttle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Compressibility_Factor_of_Air_75-200_K.png', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Daltons_symbols.gif']"
Gas,"['https://upload.wikimedia.org/wikipedia/commons/3/31/Boyle_air_pump.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/CFD_Shuttle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Compressibility_Factor_of_Air_75-200_K.png', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Daltons_symbols.gif']"
School,"['https://upload.wikimedia.org/wikipedia/commons/5/57/1887_Bettannier_Der_Schwarze_Fleck_anagoria.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/BogdanovBelsky_UstnySchet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Diploma_icon.png']"
Door,"['https://upload.wikimedia.org/wikipedia/commons/e/e9/%27Berfrestone%27_%28DB%29_door_and_tympanum_arch_St_Nicholas_Church_Barfrestone_Kent_England_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/16%2C_Stationsstraat%2C_Maastricht.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/1_bis_place_de_l%27Alma_%28Paris%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/3-5%2C_Strada_Icoanei%2C_Bucharest_%28Romania%29_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/49-53%2C_Calea_Victoriei%2C_Bucharest_%28Romania%29_10.jpg']"
Sunlight,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Sunlight,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Light,"['https://upload.wikimedia.org/wikipedia/commons/a/a4/Christiaan_Huygens-painting.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Colorful_artificial_lighting_at_night.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/EM_spectrum.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Linear_visible_spectrum.svg']"
Atmosphere of Earth,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Antarctic_aurora_ESA313457.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/AtmosphCirc2.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Atmosphere_gas_proportions.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Atmosphere_model.png']"
Dust,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Debris_netting.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Domesticdustonaribbon.png', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Dust-storm-Texas-1935.png', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Dust2017.png']"
Nose,"['https://upload.wikimedia.org/wikipedia/commons/8/8c/3D_Medical_Animation_Nose_Top_section.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Anatomy_posture_and_body_mechanics_08.web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Canine_Nose_Macro_Photo.png', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Sunlight,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Police officer,"['https://upload.wikimedia.org/wikipedia/commons/c/ce/2021-09-08_Hokkaido_Prefectural_Police_officers_in_Ashibetsu_city_%28%E5%8C%97%E6%B5%B7%E9%81%93%E8%AD%A6%E8%AD%A6%E5%AF%9F%E5%AE%98%E3%81%AB%E3%82%88%E3%82%8B%E5%B7%A1%E5%9B%9E%E9%80%A3%E7%B5%A1%29S0158477.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Accident_involving_a_high_lorry_and_a_low_bridge_-_geograph.org.uk_-_658054.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Cops_on_Patrol_%285930810489%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Keeping_an_eye_on_things.jpg']"
Police officer,"['https://upload.wikimedia.org/wikipedia/commons/c/ce/2021-09-08_Hokkaido_Prefectural_Police_officers_in_Ashibetsu_city_%28%E5%8C%97%E6%B5%B7%E9%81%93%E8%AD%A6%E8%AD%A6%E5%AF%9F%E5%AE%98%E3%81%AB%E3%82%88%E3%82%8B%E5%B7%A1%E5%9B%9E%E9%80%A3%E7%B5%A1%29S0158477.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Accident_involving_a_high_lorry_and_a_low_bridge_-_geograph.org.uk_-_658054.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Cops_on_Patrol_%285930810489%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Keeping_an_eye_on_things.jpg']"
Respiratory system,"['https://upload.wikimedia.org/wikipedia/commons/9/9d/Altitude_and_air_pressure_%26_Everest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Alveolar_Wall.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Alveolar_air.png', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Alveolus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Bird%27s_respiratory_system.jpg']"
Mouth,"['https://upload.wikimedia.org/wikipedia/commons/1/10/Anatomy_posture_and_body_mechanics_08.web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Australien-Krokodil.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Butterfly_tongue.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Fluid,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Dissolved oxygen,[]
Atmosphere,"['https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Mars_atmosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Water,"['https://upload.wikimedia.org/wikipedia/commons/9/95/200407-sandouping-sanxiadaba-4.med.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/2006_Global_Water_Availability.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/3D_model_hydrogen_bonds_in_water.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Access_to_drinking_water_in_third_world.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg']"
Atmosphere of Earth,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Antarctic_aurora_ESA313457.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/AtmosphCirc2.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Atmosphere_gas_proportions.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Atmosphere_model.png']"
Water vapor,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Above_the_Clouds.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/61/Artist%27s_Concept_of_Europa_Water_Vapor_Plume.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Atmosphere_of_exoplanet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/Atmospheric_Water_Vapor_Mean.2005.030.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/BAMS_climate_assess_boulder_water_vapor_2002_-_2.png']"
Camera,"['https://upload.wikimedia.org/wikipedia/commons/f/f6/2016_Minox_C_8.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Arri_Alexa_camera.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Daisies-Focus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Disassembled_digital_camera.jpg']"
W ell befor e,[]
Gas,"['https://upload.wikimedia.org/wikipedia/commons/3/31/Boyle_air_pump.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/CFD_Shuttle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Compressibility_Factor_of_Air_75-200_K.png', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Daltons_symbols.gif']"
Hole,"['https://upload.wikimedia.org/wikipedia/commons/5/5e/BH_LMC.png', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bangalay-bird-hollow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Black_hole_-_Messier_87_crop_max_res.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/CC_BY_icon-80x15.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Drill_-_Hole_Types.png']"
Soil,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Cone_penetration_test.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Core_sample.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg']"
Respiration,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Atmosphere,"['https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Mars_atmosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Atmosphere of Earth,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Antarctic_aurora_ESA313457.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/AtmosphCirc2.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Atmosphere_gas_proportions.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Atmosphere_model.png']"
Oxygen,"['https://upload.wikimedia.org/wikipedia/commons/2/23/A_setup_for_preparation_of_Oxygen.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Acetone-3D-vdW.png', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Antoine_lavoisier.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Apollo_1_fire.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Clabecq_JPG01.jpg']"
Wind,"['https://upload.wikimedia.org/wikipedia/commons/a/a8/10_PM_March_12_surface_analysis_of_Great_Blizzard_of_1888.png', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Anemometer_2745.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Cherry_tree_moving_in_the_wind_1.gif', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Coarse_woody_debris_6407.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Destruction_following_hurricane_andrew.jpg']"
Windmill,"['https://upload.wikimedia.org/wikipedia/commons/1/15/1813_Windmill.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/3_windmills.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/A%C3%A7ores_2010-07-21_%285123960230%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Beebe_Windmill_Isometric_of_Machinery_Long_Island_NY.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Electricity,"['https://upload.wikimedia.org/wikipedia/commons/d/d9/Arduino_ftdi_chip-1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Crystal_energy.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Electric-eel2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Electric_motor_cycle_3.png']"
